University,EV_team_name,link
Skolkovo Institute of Science and Technology (Moscow),FS Skoltech,https://tid.fsg.one/1136
Togliatti State University,Togliatti Racing Team EV,https://tid.fsg.one/1273
University of Belgrade (Универзитет у Београду),Road Arrow Electric Team,https://tid.fsg.one/1143
Slovak University of Technology in Bratislava,STUBA Green Team,https://tid.fsg.one/228
University of Ljubljana,Superior Engineering FS Ljubljana,https://tid.fsg.one/873
Nelson Mandela Metropolitan University (Port Elizabeth),NMMU Racing,https://tid.fsg.one/544
Yeungnam University College,CMDM Racing,https://tid.fsg.one/530
University of Ulsan,TeamEKT,https://tid.fsg.one/350
Mondragon Unibertsitatea (Arrasate),eMUF,https://tid.fsg.one/1114
Escola d'Enginyeria de Barcelona Est. EEBE,e-Tech Racing,https://tid.fsg.one/791
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,BCN eMotorsport,https://tid.fsg.one/365
University of the Basque Country,Formula Student Bizkaia,https://tid.fsg.one/412
Universidad de Castilla-La Mancha,Toletvm Electric Racing,https://tid.fsg.one/832
Universitat de Girona,UdG Racing Team,https://tid.fsg.one/815
University Carlos III of Madrid (Leganés),eMAD Formula Team,https://tid.fsg.one/1100
Universidad Politécnica de Madrid (UPM),UPM Racing,https://tid.fsg.one/376
Universidad Pontificia Comillas (Madrid),ISC Formula Student Racing Team,https://tid.fsg.one/983
Universidad de Oviedo,ImpulsEracing Formula Student Team,https://tid.fsg.one/716
University of Cadiz (Puerto Real),Formula Gades E,https://tid.fsg.one/1257
University of La Laguna,FSULL-Dynamics,https://tid.fsg.one/1125
TECNUN - University of Navarra (San Sebastián),Tecnun eRacing,https://tid.fsg.one/391
University of Seville,ARUSe,https://tid.fsg.one/875
"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa (UPC)",UPC ecoRacing,https://tid.fsg.one/322
Universitat de Vic - Universitat Central de Catalunya,UTRON Racing Team,https://tid.fsg.one/1073
Vitoria-University of the Basque Country,FS Vitoria,https://tid.fsg.one/1055
University of Moratuwa,Falcon E Racing ,https://tid.fsg.one/888
Chalmers University of Technology (Göteborg),Chalmers Formula Student,https://tid.fsg.one/647
Karlstad University,Clear River Racing,https://tid.fsg.one/1200
Linköping University,LiU Formula Student,https://tid.fsg.one/1219
Lund University,Lund Formula Student,https://tid.fsg.one/1049
KTH Royal Institute of Technology (Stockholm),KTH Formula Student,https://tid.fsg.one/249
Bern University of Applied Sciences,Bern Formula Student,https://tid.fsg.one/664
École Polytechnique Fédérale de Lausanne,EPFL Racing Team,https://tid.fsg.one/976
Zürcher Hochschule für Angewandte Wissenschaften,Formula Student ZHAW,https://tid.fsg.one/1094
ETH Zürich,AMZ Racing Team,https://tid.fsg.one/248
National Tsing Hua University (Hsinchu),NTHU RACING,https://tid.fsg.one/1231
National Cheng Kung University,WRL-Electric,https://fs-world.org/p2.php?u=1274&c=2
National Taipei University of Technology,WRL-Electric,https://fs-world.org/p2.php?u=1044&c=2
Middle East Technical University (Ankara),METU Formula E-Racing,https://tid.fsg.one/1212
Fırat University (Elazığ),FIRAT RACING,https://tid.fsg.one/727
Istanbul Technical University,Beelectric,https://tid.fsg.one/900
Yıldız Technical University (Istanbul),YTU Racing,https://tid.fsg.one/1022
