University,CV_team_name,link
Technische Hochschule Mittelhessen (Gießen),THM Motorsport,https://tid.fsg.one/222
Helmut Schmidt Universität / Universität der Bundeswehr Hamburg,Eleven-O-Six Racing Team,https://tid.fsg.one/100
Hochschule für Angewandte Wissenschaften Hamburg,HAWKS Racing e. V.,https://tid.fsg.one/22
Technische Universität Hamburg-Harburg,e-gnition,https://tid.fsg.one/413
Fachhochschule Hannover,Campus Motorsport Hannover,https://tid.fsg.one/167
Leibniz Universität Hannover,HorsePower Hannover e.V.,https://tid.fsg.one/127
Hochschule Heilbronn,HHN Racing e.V.,https://tid.fsg.one/215
Duale Hochschule Baden-Württemberg Stuttgart Campus Horb,Dual Racing DHBW Campus Horb,https://tid.fsg.one/418
Technische Universität Ilmenau,Team StarCraft e.V.,https://tid.fsg.one/83
Technische Universität Kaiserslautern,Kaiserslautern Racing Team,https://tid.fsg.one/128
Hochschule Karlsruhe - Technik und Wirtschaft,High Speed Karlsruhe,https://tid.fsg.one/93
Karlsruhe Institute of Technology,KA-RaceIng Combustion,https://tid.fsg.one/60
Universität Kassel,Herkules Racing Team Kassel,https://tid.fsg.one/218
UAS Kempten,Infinity Racing - Rennteam der Hochschule Kempten e.V.,https://tid.fsg.one/130
Fachhochschule Kiel,raceyard,https://tid.fsg.one/49
Koblenz University of Applied Science,Rhein-Mosel-Motorsport,https://tid.fsg.one/801
Technische Hochschule Köln,Formula Racing Cologne,https://tid.fsg.one/101
Fachhochschule Konstanz,Bodensee Racing Team,https://tid.fsg.one/30
Hochschule Niederrhein (Krefeld),HSNR Racing,https://tid.fsg.one/451
Technische Hochschule Ostwestfalen-Lippe (Lemgo),OWL Racing-Team,https://tid.fsg.one/179
Technische Hochschule Lübeck,Seagulls Luebeck,https://tid.fsg.one/1043
Otto-von-Guericke-Universität Magdeburg,UMD Racing e.V.,https://tid.fsg.one/196
Hochschule Mannheim,Delta Racing Mannheim,https://tid.fsg.one/181
Hochschule für Technik und Wirtschaft Mittweida,Technikum Mittweida Motorsport,https://tid.fsg.one/126
Duale Hochschule Baden-Württemberg Mosbach,mosTEC.racing,https://tid.fsg.one/223
Fachhochschule München,municHMotorsport,https://tid.fsg.one/23
Technical University of Munich,TUfast,https://tid.fsg.one/15
Universität der Bundeswehr München,ATHENE RacingTeam,https://tid.fsg.one/404
Georg-Simon-Ohm-Hochschule Nürnberg,Strohm & Söhne,https://tid.fsg.one/377
Hochschule Offenburg,Black Forest Formula Team,https://tid.fsg.one/55
Fachhochschule Osnabrück,Ignition Racing Team,https://tid.fsg.one/80
Universität Paderborn,UPBracingTeam e.V.,https://tid.fsg.one/110
Hochschule Pforzheim,Rennschmiede Pforzheim,https://tid.fsg.one/241
Duale Hochschule Baden-Württemberg Ravensburg,Global Formula Racing (DE),https://tid.fsg.one/20
Ostbayerische Technische Hochschule Regensburg,Dynamics e.V. Combustion,https://tid.fsg.one/98
Saarland University (Saarbrücken),Saar Racing Team,https://tid.fsg.one/96
Hochschule Bonn-Rhein-Sieg (Sankt Augustin),BRS Motorsport e.V.,https://tid.fsg.one/186
FH Schmalkalden,Rennsteig Motorsport e.V.,https://tid.fsg.one/216
UAS Würzburg-Schweinfurt,Mainfranken Racing,https://tid.fsg.one/82
Universität Siegen,Speeding Scientists Siegen e.V.,https://tid.fsg.one/166
Fachhochschule Stralsund,Baltic Racing,https://tid.fsg.one/18
Duale Hochschule Baden-Württemberg Stuttgart,DHBW Engineering Stuttgart,https://tid.fsg.one/141
Universität Stuttgart,Rennteam Uni Stuttgart,https://tid.fsg.one/24
Fachhochschule Ulm,Einstein Motorsport,https://tid.fsg.one/51
University of Applied Sciences Ravensburg-Weingarten,Formula Student Team Weingarten,https://tid.fsg.one/174
Hochschule RheinMain (Wiesbaden),Scuderia Mensa HS RheinMain Racing,https://tid.fsg.one/74
Jade Hochschule (Wilhelmshaven),Racing Revolution e.V.,https://tid.fsg.one/400
Ostfalia University of Applied Sciences (Wolfenbüttel),Team wob-racing,https://tid.fsg.one/36
Bergische Universität Wuppertal,GreenLion Racing,https://tid.fsg.one/112
Westsächsische Hochschule Zwickau,WHZ Racing Team,https://tid.fsg.one/84
National Technical University of Athens,Prom Racing,https://tid.fsg.one/269
University of West Attica (Athens),Poseidon Team,https://tid.fsg.one/1137
Technological Educational Institute of Western Macedonia (Kozani),PERSEUS Racing,https://tid.fsg.one/819
Technological Educational Institute of Western Greece,FPone,https://tid.fsg.one/806
University of Patras,UoP Racing,https://tid.fsg.one/85
Aristotle University of Thessaloniki,Aristotle Racing Team,https://tid.fsg.one/144
University of Thessaly (Volos),Centaurus Racing Team,https://tid.fsg.one/655
Democritus University of Thrace (Xanthi),Democritus Racing Team (DRT),https://tid.fsg.one/822
Budapest University of Technology and Economics,BME Motorsport,https://tid.fsg.one/142
Széchenyi István University (Győr),Arrabona Racing Team,https://tid.fsg.one/678
Neumann János University,KEFO Motorsport,https://tid.fsg.one/803
University of Miskolc,Formula Racing Miskolc,https://tid.fsg.one/717
Reykjavík University,RU Racing,https://tid.fsg.one/1065
Indus University (Ahmedabad),THE VAYUPUTRAS,https://tid.fsg.one/1122
Aligarh Muslim University,ZHCET Formula Racing,https://tid.fsg.one/638
Laxmi Devi Institute of Engineering & Technology (Alwar),Torque India Racing Club,https://tid.fsg.one/151
Rajendra Mane College of Engineering and Technology,TEAM MH-08 RACING,https://tid.fsg.one/694
"Government College of Engineering, Aurangabad",Formula Geca,https://tid.fsg.one/1119
MGM's Jawaharlal Nehru Engineering College (Aurangabad),VAAYU,https://tid.fsg.one/862
Bangalore Institute of Technology,BIT Formula Racing,https://tid.fsg.one/549
BMS College of Engineering,Bullz Racing,https://tid.fsg.one/459
Nitte Meenakshi Institute of Technology,Team Arion,https://tid.fsg.one/1006
